Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-900939,31138030786,1/12/2022 23:00,,1/13/2022 12:17,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,GENESEE,RAINIER AVE S / S GENESEE ST,-122.2882352,47.56427483
2022-900932,31134968674,1/5/2022 15:00,,1/13/2022 11:49,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,MADRONA/LESCHI,4XX BLOCK OF 35TH AVE S,-122.287723,47.59851556
2022-010231,31134985810,1/5/2022 22:27,,1/13/2022 11:42,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L3,SANDPOINT,97XX BLOCK OF SAND POINT WAY NE,-122.2777118,47.70024447
2022-010236,31132348702,1/13/2022 10:37,,1/13/2022 11:20,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,G,G2,CENTRAL AREA/SQUIRE PARK,1XX BLOCK OF 21ST AVE,-122.3050416,47.60309155
2022-010219,31131733803,1/13/2022 10:20,,1/13/2022 11:13,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,E,C,C3,CENTRAL AREA/SQUIRE PARK,11XX BLOCK OF 19TH AVE,-122.307556,47.610943
2022-010196,31132370503,1/13/2022 9:30,,1/13/2022 11:10,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D2,QUEEN ANNE,25XX BLOCK OF WESTLAKE AVE N,-122.3440707,47.64312027
2022-010180,31131079744,1/13/2022 9:10,,1/13/2022 10:55,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,J,J3,PHINNEY RIDGE,66XX BLOCK OF AURORA AVE N,-122.3459234,47.67730741
2022-010146,31130986979,1/13/2022 8:32,,1/13/2022 10:45,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B1,BALLARD SOUTH,54XX BLOCK OF 15TH AVE NW,-122.3762151,47.66827912
2022-010189,31131361798,1/13/2022 9:42,,1/13/2022 10:15,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R3,GENESEE,44XX BLOCK OF RAINIER AVE S,-122.288011,47.56345666
2022-010089,31129918819,1/13/2022 6:45,,1/13/2022 8:55,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,L,L3,LAKECITY,127XX BLOCK OF 30TH AVE NE,-122.2963473,47.72199624
2022-010111,31249277312,1/13/2022 7:41,,1/13/2022 8:39,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,10XX BLOCK OF S JACKSON ST,-122.3184307,47.59918657
2022-010111,31129678772,1/13/2022 7:42,,1/13/2022 8:39,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,10XX BLOCK OF S JACKSON ST,-122.3184307,47.59918657
