Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-900802,31108796929,1/9/2022 23:30,,1/11/2022 13:44,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SW,F,F1,HIGH POINT,24XX BLOCK OF SW WEBSTER ST,-122.3638182,47.53552032
2022-008750,31108801999,1/9/2022 0:00,,1/11/2022 13:43,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,U,U1,UNIVERSITY,50XX BLOCK OF ROOSEVELT WAY NE,-122.3173956,47.66568688
2022-008667,31108598059,1/11/2022 11:04,,1/11/2022 13:08,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,N,U,U3,SANDPOINT,85XX BLOCK OF 35TH AVE NE,-122.2907038,47.69056458
2022-008667,31208696680,1/11/2022 11:04,,1/11/2022 13:08,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,SANDPOINT,85XX BLOCK OF 35TH AVE NE,-122.2907038,47.69056458
2022-008645,31108623054,1/11/2022 10:26,,1/11/2022 13:00,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U3,SANDPOINT,71XX BLOCK OF 62ND AVE NE,-122.2622281,47.67889074
2022-008675,31108266583,1/11/2022 11:16,,1/11/2022 12:07,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,L,L3,LAKECITY,143XX BLOCK OF 35TH AVE NE,-122.2910732,47.73283589
2022-900793,31108163153,1/11/2022 3:00,,1/11/2022 11:54,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R2,CLAREMONT/RAINIER VISTA,30XX BLOCK OF S COURT ST,-122.293603,47.57091172
2022-008673,31108251472,1/10/2022 15:00,,1/11/2022 11:53,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,Q,Q1,QUEEN ANNE,11XX BLOCK OF EXPEDIA GROUP WAY W,-122.3748035,47.62913594
2022-008649,31108104865,1/11/2022 10:42,,1/11/2022 11:39,A,PROPERTY,ROBBERY,Robbery,120,N,B,B1,BALLARD SOUTH,54XX BLOCK OF 15TH AVE NW,-122.3762151,47.66827912
2021-283548,31107637100,10/25/2021 16:37,,1/11/2022 11:34,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,S,S1,NEW HOLLY,M L KING JR WAY S / S CHICAGO ST,-122.2808109,47.53260945
2022-008623,31107349769,1/10/2022 22:00,,1/11/2022 11:23,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2022-900789,31102424722,1/11/2022 2:15,,1/11/2022 10:38,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,22XX BLOCK OF 13TH AVE W,-122.3736363,47.64018149
2022-008602,31099196013,1/11/2022 9:40,,1/11/2022 9:59,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,D,D2,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33848,47.61911987
2022-900773,31096679157,1/10/2022 19:00,,1/11/2022 9:24,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,D,D3,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.3350548,47.62319598
2022-008520,31093317215,1/10/2022 7:00,,1/11/2022 8:32,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N3,NORTHGATE,107XX BLOCK OF MERIDIAN AVE N,-122.3339772,47.70775664
2022-008492,31092884138,1/11/2022 6:09,,1/11/2022 7:11,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,N,N3,GREENWOOD,9XX BLOCK OF N 85TH ST,-122.3458645,47.69056669
2022-008498,31092724960,1/11/2022 6:10,,1/11/2022 6:44,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q2,QUEEN ANNE,6XX BLOCK OF W OLYMPIC PL,-122.3668646,47.62797487
2022-008444,31092683067,1/11/2022 3:35,,1/11/2022 6:39,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O1,SODO,19XX BLOCK OF 4TH AVE S,-122.329058,47.5850737
2022-008437,31098680625,1/11/2022 3:04,,1/11/2022 6:37,A,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction,100,SW,F,F3,SOUTH PARK,,0,0
2022-008437,31109989459,1/11/2022 3:04,,1/11/2022 6:37,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SW,F,F3,SOUTH PARK,,0,0
2022-008429,31092605047,1/11/2022 2:39,,1/11/2022 6:21,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,G,G1,FIRST HILL,,0,0
2022-008429,31092608312,1/11/2022 2:39,,1/11/2022 6:21,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,G,G1,FIRST HILL,,0,0
2022-008471,31092548047,1/11/2022 4:58,,1/11/2022 5:57,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N1,GREENWOOD,NW 100TH PL / 7TH AVE NW,-122.3638486,47.70250267
2022-008409,31092353801,1/11/2022 1:47,,1/11/2022 4:57,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,B,B3,WALLINGFORD,STONE WAY N / N 42ND ST,-122.3423146,47.658016
2022-008435,31092069012,1/11/2022 2:50,,1/11/2022 3:43,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,Q,Q2,QUEEN ANNE,12XX BLOCK OF QUEEN ANNE AVE N,-122.3566157,47.63000558
2022-008399,31092013594,1/11/2022 0:56,,1/11/2022 3:21,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,SW,W,W1,NORTH ADMIRAL,43XX BLOCK OF SW ADMIRAL WAY,-122.3872027,47.58118761
2022-008378,31091717891,1/10/2022 2:34,,1/11/2022 1:25,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,O,O1,SODO,29XX BLOCK OF 1ST AVE S,-122.3342025,47.57665156
2022-008362,31091588544,1/10/2022 23:22,,1/11/2022 0:09,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D3,SLU/CASCADE,MINOR AVE N / HARRISON ST,-122.3329932,47.6219735
2022-008243,31091363281,1/10/2022 11:48,,1/10/2022 23:36,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2022-008219,31108660924,1/10/2022 18:20,,1/10/2022 23:02,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,N,N3,GREENWOOD,FREMONT AVE N / N 102ND ST,-122.3500498,47.70289439
2022-008225,31090562599,1/10/2022 14:00,,1/10/2022 22:50,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,S,R,R3,COLUMBIA CITY,47XX BLOCK OF 32ND AVE S,-122.2914927,47.56004241
2022-008335,31091240214,,,1/10/2022 22:50,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SW,F,F1,NORTH DELRIDGE,16TH AVE SW / SW GRAHAM ST,-122.3553915,47.54659177
2022-008335,31090559545,,,1/10/2022 22:50,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F2,SOUTH DELRIDGE,90XX BLOCK OF 17TH AVE SW,-122.3564596,47.52194987
2022-008251,31090341747,1/10/2022 19:01,,1/10/2022 21:51,A,PERSON,SEX OFFENSES,Sodomy,11B,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,,0,0
2022-008124,31090249810,1/10/2022 3:00,,1/10/2022 21:22,A,PERSON,SEX OFFENSES,Sexual Assault With An Object,11C,W,K,K1,DOWNTOWN COMMERCIAL,,0,0
2022-008220,31090270752,1/10/2022 18:21,,1/10/2022 21:15,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,D,D2,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.3361655,47.61605329
2022-008220,31090248371,1/10/2022 18:21,,1/10/2022 21:15,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,D,D3,EASTLAKE - WEST,2XX BLOCK OF E ROANOKE ST,-122.324022,47.64318788
2022-007919,31090196597,1/10/2022 11:20,,1/10/2022 20:42,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,W,D,D2,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.3423664,47.62263975
2022-008221,31086520805,1/10/2022 18:14,,1/10/2022 19:19,A,PROPERTY,ROBBERY,Robbery,120,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW LEARY WAY,-122.37218,47.66366
2022-008174,31084545024,1/10/2022 15:00,,1/10/2022 18:55,A,PROPERTY,ROBBERY,Robbery,120,N,N,N2,NORTHGATE,18XX BLOCK OF N 135TH ST,-122.337583,47.726855
2022-007647,31083498686,1/10/2022 2:20,,1/10/2022 18:50,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C1,CAPITOL HILL,14XX BLOCK OF E PROSPECT ST,-122.313559,47.62841
2022-007892,31086847808,1/10/2022 10:44,,1/10/2022 18:43,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,D,D2,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.3457412,47.6170232
2022-008217,31082700210,1/10/2022 18:17,,1/10/2022 18:38,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SW,F,F2,HIGHLAND PARK,85XX BLOCK OF 16TH AVE SW,-122.3550704,47.52698191
2022-008134,31080437912,1/10/2022 16:07,,1/10/2022 18:14,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,S,S,S2,BRIGHTON/DUNLAP,70XX BLOCK OF 42ND AVE S,-122.2807894,47.53982506
2022-900759,31080383510,1/6/2022 18:00,,1/10/2022 18:14,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,E,C,C1,CAPITOL HILL,14XX BLOCK OF E HARRISON ST,-122.3141609,47.62195274
2022-008045,31080348920,1/10/2022 14:31,,1/10/2022 18:08,A,PROPERTY,ROBBERY,Robbery,120,N,U,U2,UNIVERSITY,UNIVERSITY WAY NE / NE 42ND ST,-122.3132072,47.65831485
2022-008186,31078828776,1/9/2022 18:30,,1/10/2022 17:50,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,U,U3,ROOSEVELT/RAVENNA,27XX BLOCK OF NE 45TH ST,-122.2972223,47.66124046
2022-008006,31072545502,1/10/2022 13:15,,1/10/2022 16:36,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U3,ROOSEVELT/RAVENNA,30XX BLOCK OF NE 75TH ST,-122.2953265,47.68304813
2022-008089,31108802547,1/10/2022 8:30,,1/10/2022 16:18,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SW,F,F3,HIGHLAND PARK,,0,0
2022-008032,31068001951,1/10/2022 14:00,,1/10/2022 15:52,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,S,R,R3,HILLMAN CITY,60XX BLOCK OF RAINIER AVE S,-122.2768642,47.54818575
2022-008062,31108521965,12/31/2021 11:00,,1/10/2022 15:29,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,S,S,S3,RAINIER BEACH,,0,0
2022-900714,31067319987,1/9/2022 10:30,,1/10/2022 15:14,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B1,BALLARD SOUTH,28XX BLOCK OF NW 58TH ST,-122.3942628,47.67092384
2022-007978,31067287727,1/10/2022 6:00,,1/10/2022 15:00,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B3,WALLINGFORD,43XX BLOCK OF 1ST AVE NE,-122.3282872,47.65964632
2022-008050,31067294268,1/1/2022 6:00,,1/10/2022 14:55,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q3,QUEEN ANNE,3XX BLOCK OF 1ST AVE W,-122.3580398,47.62152983
2022-007979,31066739531,1/10/2022 12:49,,1/10/2022 13:38,A,PROPERTY,ROBBERY,Robbery,120,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF 8TH AVE S,-122.3224465,47.59876685
2022-007926,31115274087,1/10/2022 11:38,,1/10/2022 13:19,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,L,L2,NORTHGATE,5XX BLOCK OF NE NORTHGATE WAY,-122.3219184,47.70858578
2022-007827,31065571335,1/10/2022 9:09,,1/10/2022 11:08,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,S,O,O2,GEORGETOWN,S HUDSON ST / 1ST AVE S,-122.3342137,47.55741245
2022-007873,31065486118,1/10/2022 10:14,,1/10/2022 10:40,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,43XX BLOCK OF UNIVERSITY WAY NE,-122.313149,47.66053224
2022-007822,31065801409,1/10/2022 9:05,,1/10/2022 10:24,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,U,U2,UNIVERSITY,42XX BLOCK OF 7TH AVE NE,-122.320842,47.658491
2022-007831,31065198419,1/6/2022 16:15,,1/10/2022 10:04,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,B,B2,FREMONT,42XX BLOCK OF AURORA AVE N,-122.3473338,47.65900378
2022-007850,31065275301,1/4/2022 8:00,,1/10/2022 9:58,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,C,C1,MONTLAKE/PORTAGE BAY,23XX BLOCK OF 10TH AVE E,-122.3200608,47.64045106
2022-007711,31074358076,1/10/2022 5:00,,1/10/2022 9:58,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 2ND AVE,-122.3384495,47.60878866
2022-007711,31065210220,1/10/2022 5:00,,1/10/2022 9:58,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 2ND AVE,-122.3384495,47.60878866
2022-007710,31064380475,1/10/2022 5:03,,1/10/2022 7:37,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J2,PHINNEY RIDGE,72XX BLOCK OF GREENWOOD AVE N,-122.3553075,47.68089711
2022-007774,31064318496,1/10/2022 7:14,,1/10/2022 7:24,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,N,N3,NORTHGATE,107XX BLOCK OF MERIDIAN AVE N,-122.3339772,47.70775664
2022-007680,31064119278,1/10/2022 3:40,,1/10/2022 6:43,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,E,E1,CAPITOL HILL,12XX BLOCK OF PINE ST,-122.3283091,47.61508133
2022-007719,31064925571,1/10/2022 5:10,,1/10/2022 6:19,A,PROPERTY,ARSON,Arson,200,E,E,E1,CAPITOL HILL,4XX BLOCK OF BROADWAY E,-122.3209152,47.6225585
2022-007602,31063547538,1/10/2022 0:17,,1/10/2022 4:41,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,O,O2,SODO,6XX BLOCK OF S ANDOVER ST,-122.3247155,47.56805897
2022-007644,31063489658,1/10/2022 2:11,,1/10/2022 4:22,A,PERSON,HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,09A,S,S,S1,MID BEACON HILL,,0,0
2022-007621,31063470014,1/10/2022 1:24,,1/10/2022 4:14,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,N,U,U2,UNIVERSITY,,0,0
2022-007627,31063457627,1/10/2022 1:33,,1/10/2022 4:14,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,N,N3,NORTHGATE,,0,0
2022-007666,31063378276,1/10/2022 3:24,,1/10/2022 3:48,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,L,L1,LAKECITY,27TH AVE NE / NE 125TH ST,-122.2990894,47.71930055
2022-007616,31063275800,1/10/2022 1:13,,1/10/2022 3:07,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.3207895,47.61465549
2022-007616,31126960346,1/10/2022 1:13,,1/10/2022 3:07,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.3207895,47.61465549
2022-007645,31063246950,1/10/2022 2:14,,1/10/2022 2:58,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,W,M,M3,DOWNTOWN COMMERCIAL,PIKE ST / 5TH AVE,-122.335574,47.6106779
2022-007581,31063268032,1/8/2022 13:34,,1/10/2022 2:52,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,81XX BLOCK OF DELRIDGE WAY SW,-122.3604553,47.52918117
2022-007629,31063142089,1/10/2022 1:40,,1/10/2022 2:13,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,15XX BLOCK OF CHERRYLANE AVE S,-122.3126226,47.58942794
2022-007610,31062792519,1/10/2022 0:47,,1/10/2022 1:31,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E2,CAPITOL HILL,12XX BLOCK OF E PIKE ST,-122.316183,47.614108
2022-007559,31065364343,1/9/2022 22:57,,1/10/2022 1:01,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,M,M3,DOWNTOWN COMMERCIAL,,0,0
2022-004245,31056276833,1/5/2022 21:29,,1/9/2022 23:57,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,E,E2,CAPITOL HILL,E MADISON ST / 14TH AVE,-122.3142204,47.61389492
2022-007528,31052252060,1/7/2022 22:00,,1/9/2022 23:02,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,O,O3,GEORGETOWN,70XX BLOCK OF EAST MARGINAL WAY S,-122.3222415,47.53963322
2022-007503,31050103654,1/9/2022 21:00,,1/9/2022 22:25,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N2,NORTHGATE,116XX BLOCK OF AURORA AVE N,-122.3448343,47.71354798
2022-007461,31049585039,1/9/2022 19:44,,1/9/2022 22:21,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D1,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
2022-007350,31048210109,1/9/2022 16:32,,1/9/2022 22:00,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q2,QUEEN ANNE,5XX BLOCK OF GALER ST,-122.3461095,47.63230082
2022-007470,31045344276,1/9/2022 20:04,,1/9/2022 21:22,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,E,C,C2,MADISON PARK,19XX BLOCK OF 43RD AVE E,-122.277117,47.63666729
2022-007455,31043904363,1/9/2022 19:28,,1/9/2022 20:44,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R2,MOUNT BAKER,38XX BLOCK OF RAINIER AVE S,-122.289922,47.56888116
2022-007459,31043128591,1/9/2022 19:35,,1/9/2022 20:29,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,E,G,G1,FIRST HILL,9XX BLOCK OF E TERRACE ST,-122.3200809,47.60521427
2022-007378,31042959176,1/9/2022 17:14,,1/9/2022 19:35,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,Q,Q2,QUEEN ANNE,,0,0
2022-007378,31042940635,1/9/2022 17:14,,1/9/2022 19:35,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q2,QUEEN ANNE,,0,0
2022-007395,31042534914,1/9/2022 17:51,,1/9/2022 19:16,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,U,U1,ROOSEVELT/RAVENNA,8XX BLOCK OF NE 70TH ST,-122.3193555,47.67948911
2022-007326,31042224189,1/9/2022 15:49,,1/9/2022 18:06,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,5XX BLOCK OF PINE ST,-122.3359285,47.61190423
2022-007369,31042100909,12/1/2021 0:00,,1/9/2022 17:34,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,S,R,R3,COLUMBIA CITY,35XX BLOCK OF S BRANDON ST,-122.2875865,47.55344408
2022-900617,31042086356,1/9/2022 9:40,,1/9/2022 17:34,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW BALLARD WAY,-122.3696838,47.66293289
2022-007352,31041979799,1/9/2022 16:15,,1/9/2022 16:59,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,W,W1,NORTH ADMIRAL,43XX BLOCK OF SW ADMIRAL WAY,-122.3872027,47.58118761
2022-007336,31041881662,1/9/2022 16:00,,1/9/2022 16:31,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B1,BALLARD SOUTH,14XX BLOCK OF NW 62ND ST,-122.3748942,47.67381675
2022-007292,31041659926,1/9/2022 15:07,,1/9/2022 15:42,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,C,C3,CENTRAL AREA/SQUIRE PARK,27XX BLOCK OF E UNION ST,-122.2968497,47.61293809
2022-007217,31041669329,1/9/2022 0:00,,1/9/2022 15:39,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K1,DOWNTOWN COMMERCIAL,7XX BLOCK OF 4TH AVE,-122.3312782,47.604305
2022-007187,31041970449,1/9/2022 12:20,,1/9/2022 15:38,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J3,ROOSEVELT/RAVENNA,,0,0
2022-007187,31041967973,1/9/2022 12:20,,1/9/2022 15:38,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,J,J3,ROOSEVELT/RAVENNA,,0,0
2022-007237,31041466274,1/9/2022 13:40,,1/9/2022 14:50,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,5XX BLOCK OF PINE ST,-122.3359285,47.61190423
2022-007218,31041407671,1/9/2022 13:11,,1/9/2022 14:41,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R3,HILLMAN CITY,60XX BLOCK OF M L KING JR WAY S,-122.2859474,47.54706873
2022-900608,31041373218,1/5/2022 10:02,,1/9/2022 14:33,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0,0
2022-007252,31041421481,1/9/2022 14:06,,1/9/2022 14:31,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,L,L3,SANDPOINT,120XX BLOCK OF SAND POINT WAY NE,-122.2835066,47.71669102
2022-007243,31041291175,1/9/2022 13:45,,1/9/2022 14:08,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,E,E2,CAPITOL HILL,17XX BLOCK OF BOYLSTON AVE,-122.3234391,47.61695897
2022-007163,31041064250,1/9/2022 12:04,,1/9/2022 13:09,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L3,LAKECITY,143XX BLOCK OF LAKE CITY WAY NE,-122.2924031,47.73284787
2022-007099,31041022518,1/9/2022 10:36,,1/9/2022 12:56,A,PROPERTY,ROBBERY,Robbery,120,W,M,M1,DOWNTOWN COMMERCIAL,14XX BLOCK OF 2ND AVE,-122.3384495,47.60878866
2022-007161,31041020878,1/9/2022 12:06,,1/9/2022 12:55,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,N,U,U2,UNIVERSITY,NE 45TH ST / ROOSEVELT WAY NE,-122.3176382,47.66129873
2022-007134,31041002927,1/9/2022 11:28,,1/9/2022 12:52,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U1,UNIVERSITY,55XX BLOCK OF 17TH AVE NE,-122.3096081,47.66899732
2022-007138,31040993123,1/9/2022 11:32,,1/9/2022 12:48,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2022-007158,31040947168,1/9/2022 12:00,,1/9/2022 12:37,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,R,R1,NORTH BEACON HILL,30XX BLOCK OF BEACON AVE S,-122.3095167,47.5760722
2022-007125,31040819344,1/9/2022 11:20,,1/9/2022 11:58,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N1,BITTERLAKE,3XX BLOCK OF N 125TH ST,-122.354873,47.71959953
2022-007109,31040795965,1/9/2022 10:55,,1/9/2022 11:55,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,R,R2,MOUNT BAKER,36XX BLOCK OF 33RD AVE S,-122.2910103,47.57075994
2022-007094,31040715848,1/9/2022 10:28,,1/9/2022 11:19,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B1,BALLARD SOUTH,22XX BLOCK OF NW 58TH ST,-122.3861649,47.67091421
2022-007034,31040651602,1/9/2022 8:32,,1/9/2022 11:10,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,S,S3,RAINIER BEACH,90XX BLOCK OF RAINIER AVE S,-122.2699879,47.52281565
2022-007061,31040539390,1/9/2022 9:20,,1/9/2022 10:38,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B2,FREMONT,7XX BLOCK OF N 35TH ST,-122.3486396,47.65034031
2022-007043,31040525851,1/9/2022 8:56,,1/9/2022 10:30,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,U,U3,SANDPOINT,37XX BLOCK OF NE 45TH ST,-122.2877009,47.66125901
2022-007015,31040375126,1/9/2022 1:55,,1/9/2022 9:46,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,S,S1,SOUTH BEACON HILL,88XX BLOCK OF M L KING JR WAY S,-122.2790519,47.52375501
2022-007029,31040350251,1/9/2022 8:26,,1/9/2022 9:30,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R2,MOUNT BAKER,27XX BLOCK OF RAINIER AVE S,-122.2991587,47.57967225
